LinearReluLinearSigmoid,FusedCNN
5.77715,17.2358
0.143104,15.6782
0.045792,15.6698
0.040832,15.6676
0.038336,15.6648
0.037152,15.6459
0.040608,15.6472
0.037664,15.6476
0.037376,15.6377
0.036224,15.6503
0.04176,15.6705
0.056864,15.6597
0.038976,15.6529
0.040096,15.6545
0.041952,15.6662
0.038592,15.6406
0.037184,15.648
0.04048,15.653
0.036416,15.6356
0.037248,15.6379
0.035776,15.6356
0.0384,15.6454
0.037344,15.6417
0.036192,15.6436
0.036064,15.637
0.046816,15.6464
0.037408,15.6403
0.03664,15.6466
0.036128,15.6543
0.03712,15.6558
0.036224,15.6461
0.03664,15.6548
0.038208,15.6488
0.035328,15.6596
0.036768,15.6545
0.036096,15.6677
0.042432,15.6613
0.03632,15.6632
0.036672,15.656
0.035488,15.6444
0.038784,15.641
0.036128,15.658
0.058144,15.6545
0.042304,15.6412
0.036096,15.6564
0.03648,15.654
0.035232,15.6497
0.04,15.6448
0.036352,15.6471
0.036224,15.6531
0.035936,15.6407
0.039232,15.6485
0.036832,15.6523
0.036064,15.6557
0.03552,15.6538
0.03632,15.6589
0.037216,15.653
0.039104,15.6654
0.041248,15.6423
0.036064,15.6579
0.037696,15.6716
0.035744,15.6548
0.04064,15.6488
0.036352,15.659
0.038208,15.6569
0.036544,15.6657
0.039872,15.6549
0.036672,15.6669
0.036608,15.654
0.039488,15.6573
0.03872,15.6478
0.04496,15.6745
0.041952,15.6519
0.041216,15.6553
0.037632,15.6554
0.036672,15.6593
0.036064,15.6773
0.041056,15.6575
0.037856,15.6508
0.036448,15.656
0.036128,15.6542
0.036544,15.6584
0.036768,15.6651
0.03696,15.6724
0.039136,15.6554
0.037376,15.6416
0.03696,15.6598
0.035392,15.6547
0.040256,15.6648
0.037664,15.6649
0.03632,15.6641
0.037152,15.6503
0.040448,15.6381
0.037984,15.6589
0.0384,15.6525
0.040064,15.6564
0.037312,15.6459
0.037568,15.6478
0.037472,15.6577
0.039104,15.6364
